id:ID(Movie-ID),title,release_date,poster_path,overview,collection,genres,budget,revenue,rating,:LABEL
4584,Sense and Sensibility,1995-12-13,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",,Drama|Romance|,16500000,135000000,7.2,Movie
5,Four Rooms,1995-12-09,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,,Crime|Comedy|,4000000,4300000,6.5,Movie
9273,Ace Ventura: When Nature Calls,1995-11-10,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",Ace Ventura Collection,Crime|Comedy|Adventure|,30000000,212385533,6.1,Movie
11517,Money Train,1995-11-21,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",,Action|Comedy|Crime|,60000000,35431113,5.4,Movie
8012,Get Shorty,1995-10-20,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",Chili Palmer Collection,Comedy|Thriller|Crime|,30250000,115101622,6.4,Movie
1710,Copycat,1995-10-27,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,,Drama|Thriller|,0,0,6.5,Movie
9691,Assassins,1995-10-06,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",,Action|Adventure|Crime|Thriller|,50000000,30303072,6.0,Movie
12665,Powder,1995-10-27,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",,Drama|Fantasy|Science Fiction|Thriller|,0,0,6.3,Movie
451,Leaving Las Vegas,1995-10-27,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",,Drama|Romance|,3600000,49800000,7.1,Movie
16420,Othello,1995-12-15,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,,Drama|,0,0,7.0,Movie
9263,Now and Then,1995-10-20,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",,Comedy|Drama|Family|,12000000,27400000,6.6,Movie
17015,Persuasion,1995-09-27,/si8911IezMvAnQFDvyg1nKzDlD.jpg,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",,Drama|Romance|,0,0,7.4,Movie
902,The City of Lost Children,1995-05-16,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",,Fantasy|Science Fiction|Adventure|,18000000,1738611,7.6,Movie
